iShares Russell 1000 ETF
Fund Holdings as of,"Sep 11, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"117,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"GS","GOLDMAN SACHS GROUP","Financials","Equity","205,876,138.02","0.42","205,876,138.02","200,039.00","1,029.18","United States","NYSE","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","191,936,044.17","0.39","191,936,044.17","2,125,773.00","90.29","United States","NYSE","USD","1.00","USD","-"
"RTX","RTX","Industrials","Equity","185,008,909.68","0.38","185,008,909.68","935,901.00","197.68","United States","NYSE","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS","Information Technology","Equity","184,959,658.30","0.38","184,959,658.30","559,382.00","330.65","United States","NASDAQ","USD","1.00","USD","-"
"GEV","GE VERNOVA","Industrials","Equity","178,685,932.74","0.36","178,685,932.74","186,662.00","957.27","United States","NYSE","USD","1.00","USD","-"
"ORCL","ORACLE","Information Technology","Equity","178,688,480.36","0.36","178,688,480.36","1,189,037.00","150.28","United States","NYSE","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","169,573,614.30","0.35","169,573,614.30","631,089.00","268.70","United States","NASDAQ","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","166,505,087.16","0.34","166,505,087.16","776,682.00","214.38","United States","NYSE","USD","1.00","USD","-"
"SNDK","SANDISK","Information Technology","Equity","164,855,648.85","0.34","164,855,648.85","100,931.00","1,633.35","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA","Information Technology","Equity","163,914,361.76","0.33","163,914,361.76","907,409.00","180.64","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP","Financials","Equity","163,897,416.54","0.33","163,897,416.54","1,180,647.00","138.82","United States","NYSE","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES","Information Technology","Equity","158,787,354.43","0.32","158,787,354.43","652,667.00","243.29","United States","NYSE","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","157,382,345.60","0.32","157,382,345.60","258,080.00","609.82","United States","NYSE","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","149,228,630.04","0.30","149,228,630.04","320,082.00","466.22","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","146,850,482.10","0.30","146,850,482.10","2,901,610.00","50.61","United States","NYSE","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS","Information Technology","Equity","144,590,979.60","0.29","144,590,979.60","724,440.00","199.59","United States","NYSE","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS CLASS A","Information Technology","Equity","143,950,994.60","0.29","143,950,994.60","696,290.00","206.74","United States","NASDAQ","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY","Information Technology","Equity","142,778,405.70","0.29","142,778,405.70","604,737.00","236.10","United States","NASDAQ","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","142,660,475.36","0.29","142,660,475.36","1,699,958.00","83.92","United States","NYSE","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","141,383,611.25","0.29","141,383,611.25","374,675.00","377.35","United States","NASDAQ","USD","1.00","USD","-"
